Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,0,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,CCAFS,0,0,LEO,NASA,Success,F9 v1.0B0004.1,Failure,8 December 2010,15:43
3,CCAFS,0,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,"No attempt
",22 May 2012,07:44
4,CCAFS,0,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,No attempt,8 October 2012,00:35
5,CCAFS,0,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0007.1,"No attempt
",1 March 2013,15:10
6,CCAFS,0,500 kg,Polar orbit,MDA,Success,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00
7,CCAFS,0,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,CCAFS,0,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,CCAFS,0,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
10,CCAFS,0,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15
11,VAFB,0,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
12,VAFB,0,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",7 September 2014,05:00
13,CCAFS,0,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,21 September 2014,05:52
14,CCAFS,0,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,10 January 2015,09:47
15,CCAFS,0,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,11 February 2015,23:03
16,CCAFS,0,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,2 March 2015,03:50
17,Cape Canaveral,0,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,20:10
18,Cape Canaveral,0,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,27 April 2015,23:03
19,Cape Canaveral,0,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,28 June 2015,14:21
20,Cape Canaveral,0,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT,Success,22 December 2015,01:29
21,Cape Canaveral,0,553 kg,LEO,NASA,"Success
",F9 v1.1,Failure,17 January 2016,18:42
22,Cape Canaveral,0,"5,271 kg",GTO,SES,"Success
",F9 FT,Failure,4 March 2016,23:35
23,Cape Canaveral,0,"3,136 kg",LEO,NASA,Success,F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,0,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,6 May 2016,05:21
25,Cape Canaveral,0,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,27 May 2016,21:39
26,Cape Canaveral,0,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,15 June 2016,14:29
27,Cape Canaveral,0,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,18 July 2016,04:45
28,Cape Canaveral,0,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,14 August 2016,05:26
29,Cape Canaveral,0,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14 January 2017,17:54
30,Cape Canaveral,0,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,19 February 2017,14:39
31,Cape Canaveral,0,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,16 March 2017,06:00
32,Cape Canaveral,0,"5,300 kg",GTO,SES,Success,F9 FT♺,Success,30 March 2017,22:27
33,Cape Canaveral,0,C,LEO,NRO,"Success
",F9 FT,Success,1 May 2017,11:15
34,Cape Canaveral,0,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,15 May 2017,23:21
35,Cape Canaveral,0,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,3 June 2017,21:07
36,Cape Canaveral,0,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
37,Cape Canaveral,0,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,25 June 2017,20:25
38,Cape Canaveral,0,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,5 July 2017,23:38
39,Cape Canaveral,0,"3,310 kg",LEO,NASA,"Success
",F9 B4,Success,14 August 2017,16:31
